,titles,budgets,film_page_urls,directors,director_page_urls
0,The Favourite,"                
            $15MM

",https://pro.imdb.com/title/tt5083738/?ref_=search_title_T1_result_1,Yorgos Lanthimos,https://pro.imdb.com/name/nm0487166/?ref_=search_title_T1_result_s_1
1,Spider-Man: Into the Spider-Verse,"                
            $90MM

",https://pro.imdb.com/title/tt4633694/?ref_=search_title_T1_result_2,Bob Persichetti,https://pro.imdb.com/name/nm2130108/?ref_=search_title_T1_result_s_2
2,It,"                
            $35MM

",https://pro.imdb.com/title/tt1396484/?ref_=search_title_T1_result_3,Andy Muschietti,https://pro.imdb.com/name/nm0615592/?ref_=search_title_T1_result_s_3
3,Bohemian Rhapsody,"                
            $52MM

",https://pro.imdb.com/title/tt1727824/?ref_=search_title_T1_result_4,Bryan Singer,https://pro.imdb.com/name/nm0001741/?ref_=search_title_T1_result_s_4
4,Avengers: Infinity War,"                
            $321MM

",https://pro.imdb.com/title/tt4154756/?ref_=search_title_T1_result_5,Anthony Russo,https://pro.imdb.com/name/nm0751577/?ref_=search_title_T1_result_s_5
5,Hereditary,"                
            $10MM

",https://pro.imdb.com/title/tt7784604/?ref_=search_title_T1_result_6,Ari Aster,https://pro.imdb.com/name/nm4170048/?ref_=search_title_T1_result_s_6
6,The Fate of the Furious,"                
            $250MM

",https://pro.imdb.com/title/tt4630562/?ref_=search_title_T1_result_7,F. Gary Gray,https://pro.imdb.com/name/nm0336620/?ref_=search_title_T1_result_s_7
7,The Hateful Eight,"                
            $44MM

",https://pro.imdb.com/title/tt3460252/?ref_=search_title_T1_result_8,Quentin Tarantino,https://pro.imdb.com/name/nm0000233/?ref_=search_title_T1_result_s_8
8,Clash of the Titans,"                
            $125MM

",https://pro.imdb.com/title/tt0800320/?ref_=search_title_T1_result_9,Louis Leterrier,https://pro.imdb.com/name/nm0504642/?ref_=search_title_T1_result_s_9
9,Mission: Impossible - Fallout,"                
            $178MM

",https://pro.imdb.com/title/tt4912910/?ref_=search_title_T1_result_10,Christopher McQuarrie,https://pro.imdb.com/name/nm0003160/?ref_=search_title_T1_result_s_10
10,Widows,"                
            $42MM

",https://pro.imdb.com/title/tt4218572/?ref_=search_title_T1_result_11,Steve McQueen,https://pro.imdb.com/name/nm2588606/?ref_=search_title_T1_result_s_11
11,A Star Is Born,"                
            $36MM

",https://pro.imdb.com/title/tt1517451/?ref_=search_title_T1_result_12,Bradley Cooper,https://pro.imdb.com/name/nm0177896/?ref_=search_title_T1_result_s_12
12,Spider-Man: Homecoming,"                
            $175MM

",https://pro.imdb.com/title/tt2250912/?ref_=search_title_T1_result_13,Jon Watts,https://pro.imdb.com/name/nm1218281/?ref_=search_title_T1_result_s_13
13,A Simple Favor,"                
            $20MM

",https://pro.imdb.com/title/tt7040874/?ref_=search_title_T1_result_14,Paul Feig,https://pro.imdb.com/name/nm0082450/?ref_=search_title_T1_result_s_14
14,Blade Runner 2049,"                
            $150MM

",https://pro.imdb.com/title/tt1856101/?ref_=search_title_T1_result_15,Denis Villeneuve,https://pro.imdb.com/name/nm0898288/?ref_=search_title_T1_result_s_15
15,Jupiter Ascending,"                
            $176MM

",https://pro.imdb.com/title/tt1617661/?ref_=search_title_T1_result_16,Lana Wachowski,https://pro.imdb.com/name/nm0905154/?ref_=search_title_T1_result_s_16
16,Mary Poppins Returns,"                
            $130MM

",https://pro.imdb.com/title/tt5028340/?ref_=search_title_T1_result_17,Rob Marshall,https://pro.imdb.com/name/nm0551128/?ref_=search_title_T1_result_s_17
17,Thor: Ragnarok,"                
            $180MM

",https://pro.imdb.com/title/tt3501632/?ref_=search_title_T1_result_18,Taika Waititi,https://pro.imdb.com/name/nm0169806/?ref_=search_title_T1_result_s_18
18,Venom,"                
            $100MM

",https://pro.imdb.com/title/tt1270797/?ref_=search_title_T1_result_19,Ruben Fleischer,https://pro.imdb.com/name/nm0281508/?ref_=search_title_T1_result_s_19
19,The Wolf of Wall Street,"                
            $100MM

",https://pro.imdb.com/title/tt0993846/?ref_=search_title_T1_result_20,Martin Scorsese,https://pro.imdb.com/name/nm0000217/?ref_=search_title_T1_result_s_20
20,First Man,"                
            $60MM

",https://pro.imdb.com/title/tt1213641/?ref_=search_title_T1_result_21,Damien Chazelle,https://pro.imdb.com/name/nm3227090/?ref_=search_title_T1_result_s_21
21,Furious 7,"                
            $190MM

",https://pro.imdb.com/title/tt2820852/?ref_=search_title_T1_result_22,James Wan,https://pro.imdb.com/name/nm1490123/?ref_=search_title_T1_result_s_22
22,Aquaman,"                
            $160MM

",https://pro.imdb.com/title/tt1477834/?ref_=search_title_T1_result_23,James Wan,https://pro.imdb.com/name/nm1490123/?ref_=search_title_T1_result_s_23
23,Fantastic Beasts: The Crimes of Grindelwald,"                
            $200MM

",https://pro.imdb.com/title/tt4123430/?ref_=search_title_T1_result_24,David Yates,https://pro.imdb.com/name/nm0946734/?ref_=search_title_T1_result_s_24
24,Django Unchained,"                
            $100MM

",https://pro.imdb.com/title/tt1853728/?ref_=search_title_T1_result_25,Quentin Tarantino,https://pro.imdb.com/name/nm0000233/?ref_=search_title_T1_result_s_25
25,Ralph Breaks the Internet,"                
            $175MM

",https://pro.imdb.com/title/tt5848272/?ref_=search_title_T1_result_26,Phil Johnston,https://pro.imdb.com/name/nm1601882/?ref_=search_title_T1_result_s_26
26,Deadpool 2,"                
            $110MM

",https://pro.imdb.com/title/tt5463162/?ref_=search_title_T1_result_27,David Leitch,https://pro.imdb.com/name/nm0500610/?ref_=search_title_T1_result_s_27
27,Bad Times at the El Royale,"                
            $32MM

",https://pro.imdb.com/title/tt6628394/?ref_=search_title_T1_result_28,Drew Goddard,https://pro.imdb.com/name/nm1206844/?ref_=search_title_T1_result_s_28
28,Crazy Rich Asians,"                
            $30MM

",https://pro.imdb.com/title/tt3104988/?ref_=search_title_T1_result_29,Jon M. Chu,https://pro.imdb.com/name/nm0160840/?ref_=search_title_T1_result_s_29
29,Interstellar,"                
            $165MM

",https://pro.imdb.com/title/tt0816692/?ref_=search_title_T1_result_30,Christopher Nolan,https://pro.imdb.com/name/nm0634240/?ref_=search_title_T1_result_s_30
30,Suicide Squad,"                
            $175MM

",https://pro.imdb.com/title/tt1386697/?ref_=search_title_T1_result_31,David Ayer,https://pro.imdb.com/name/nm0043742/?ref_=search_title_T1_result_s_31
