title,genres,release,budget,openinggross,uscagross,worldgross,userrating,uservotes,articles,imdburl,url
Thor: Ragnarok,"Action,Adventure,Comedy","Nov
3,
2017",180000000.0,122744989.0,315058289.0,853977126.0," 7.9
",,"6,727",,https://pro.imdb.com/title/tt3501632/
Mary Poppins Returns,"Comedy,Family,Fantasy","Dec
19,
2018",130000000.0,23523121.0,171958438.0,349537494.0," 6.8
",,"1,311",,https://pro.imdb.com/title/tt3501632/
Jupiter Ascending,"Action,Adventure,Sci-Fi","Feb
6,
2015",176000000.0,18372372.0,47387723.0,183887723.0," 5.3
",,"1,964",,https://pro.imdb.com/title/tt3501632/
title,genres,release,budget,openinggross,uscagross,worldgross,userrating,uservotes,articles,imdburl,url
The Wolf of Wall Street,"Biography,Crime,Drama","Dec
25,
2013",100000000.0,18361578.0,116900694.0,392000694.0," 8.2
"," / 10
, |
, 1,051,903 votes
","5,502",,https://pro.imdb.com/title/tt0993846/
Venom,"Action,Sci-Fi,Thriller","Oct
5,
2018",100000000.0,80255756.0,213515506.0,856085151.0," 6.7
"," / 10
, |
, 298,471 votes
","2,820",,https://pro.imdb.com/title/tt0993846/
Thor: Ragnarok,"Action,Adventure,Comedy","Nov
3,
2017",180000000.0,122744989.0,315058289.0,853977126.0," 7.9
"," / 10
, |
, 503,319 votes
","6,727",,https://pro.imdb.com/title/tt0993846/
title,genres,release,budget,openinggross,uscagross,worldgross,userrating,uservotes,articles,url
The Wolf of Wall Street,"Biography,Crime,Drama","Dec
25,
2013",100000000.0,18361578.0,116900694.0,392000694.0," 8.2
",N/A,"5,502",https://pro.imdb.com/title/tt0993846/
Venom,"Action,Sci-Fi,Thriller","Oct
5,
2018",100000000.0,80255756.0,213515506.0,856085151.0," 6.7
",N/A,"2,820",https://pro.imdb.com/title/tt0993846/
Thor: Ragnarok,"Action,Adventure,Comedy","Nov
3,
2017",180000000.0,122744989.0,315058289.0,853977126.0," 7.9
",N/A,"6,727",https://pro.imdb.com/title/tt0993846/
title,genres,release,budget,openinggross,uscagross,worldgross,userrating,uservotes,articles,url
Django Unchained,"Drama,Western","Dec
25,
2012",100000000.0,30122888.0,162805434.0,425368238.0," 8.4
",N/A,"9,377",https://pro.imdb.com/title/tt1853728/
Fantastic Beasts: The Crimes of Grindelwald,"Adventure,Family,Fantasy","Nov
16,
2018",200000000.0,62163104.0,159555901.0,653755901.0," 6.6
",N/A,"1,237",https://pro.imdb.com/title/tt1853728/
Aquaman,"Action,Adventure,Fantasy","Dec
21,
2018",160000000.0,67873522.0,335061807.0,1148061807.0," 7
",N/A,"5,415",https://pro.imdb.com/title/tt1853728/
title,genres,release,budget,openinggross,uscagross,worldgross,userrating,uservotes,articles,url
Django Unchained,"Drama,Western","Dec
25,
2012",100000000.0,30122888.0,162805434.0,425368238.0," 8.4
",1230180,"9,377",https://pro.imdb.com/title/tt1853728/
Fantastic Beasts: The Crimes of Grindelwald,"Adventure,Family,Fantasy","Nov
16,
2018",200000000.0,62163104.0,159555901.0,653755901.0," 6.6
",175044,"1,238",https://pro.imdb.com/title/tt1853728/
Aquaman,"Action,Adventure,Fantasy","Dec
21,
2018",160000000.0,67873522.0,335061807.0,1148061807.0," 7
",287632,"5,415",https://pro.imdb.com/title/tt1853728/
