title,genres,release,budget,openinggross,uscagross,worldgross,userrating,uservotes,articles,url
Mad Max: Fury Road,"Action,Adventure,Sci-Fi","May
15,
2015",150000000.0,45428128.0,154058340.0,375209362.0," 8.1
",791998,"7,032",https://pro.imdb.com/title/tt3214920/
The Meg,"Action,Horror,Sci-Fi","Aug
10,
2018",130000000.0,45402195.0,145443742.0,530243742.0," 5.7
",122387,738,https://pro.imdb.com/title/tt3214920/
The Witch,"Horror,Mystery","Feb
19,
2016",4000000.0,8800230.0,25138705.0,40423945.0," 6.8
",159218,"1,286",https://pro.imdb.com/title/tt3214920/
Cinderella,"Drama,Family,Fantasy","Mar
13,
2015",95000000.0,67877361.0,201151353.0,542351353.0," 6.9
",145555,"1,957",https://pro.imdb.com/title/tt3214920/
Wonder Woman,"Action,Adventure,Fantasy","Jun
2,
2017",149000000.0,103251471.0,412563408.0,821847012.0," 7.4
",497474,"9,699",https://pro.imdb.com/title/tt3214920/
The Avengers,"Action,Adventure,Sci-Fi","May
4,
2012",220000000.0,207438708.0,623357910.0,1518812988.0," 8
",1196179,"28,848",https://pro.imdb.com/title/tt3214920/
Mortal Engines,"Action,Adventure,Fantasy","Dec
14,
2018",100000000.0,7559850.0,15951040.0,83672673.0," 6.1
",77294,485,https://pro.imdb.com/title/tt3214920/
The Hunger Games,"Action,Adventure,Sci-Fi","Mar
23,
2012",78000000.0,152535747.0,408010692.0,694394724.0," 7.2
",801132,"21,360",https://pro.imdb.com/title/tt3214920/
Edge of Tomorrow,"Action,Sci-Fi","Jun
6,
2014",178000000.0,28760246.0,100206256.0,370541256.0," 7.9
",553133,"3,378",https://pro.imdb.com/title/tt3214920/
Peppermint,"Action,Drama,Thriller","Sep
7,
2018",25000000.0,13423255.0,35418723.0,53818723.0," 6.5
",38965,167,https://pro.imdb.com/title/tt3214920/
Red Sparrow,"Action,Drama,Thriller","Mar
2,
2018",69000000.0,16853422.0,46874505.0,151572634.0," 6.6
",141385,451,https://pro.imdb.com/title/tt3214920/
A Quiet Place,"Drama,Horror,Sci-Fi","Apr
6,
2018",17000000.0,50203562.0,188024361.0,340939361.0," 7.5
",318812,"1,769",https://pro.imdb.com/title/tt3214920/
Baywatch,"Action,Comedy,Crime","May
25,
2017",69000000.0,18503871.0,58060186.0,177856751.0," 5.5
",141796,"1,230",https://pro.imdb.com/title/tt3214920/
Dunkirk,"Action,Drama,History","Jul
21,
2017",100000000.0,50513488.0,189740665.0,526940665.0," 7.9
",477461,"2,434",https://pro.imdb.com/title/tt3214920/
xXx: Return of Xander Cage,"Action,Adventure,Thriller","Jan
20,
2017",85000000.0,20130142.0,44898413.0,346118277.0," 5.2
",79166,69,https://pro.imdb.com/title/tt3214920/
Guardians of the Galaxy Vol. 2,"Action,Adventure,Comedy","May
5,
2017",200000000.0,146510104.0,389813101.0,863756051.0," 7.6
",499259,"4,717",https://pro.imdb.com/title/tt3214920/
Loud,"Drama,Romance","Mar
4,
2014",167362.0,,,," Needs 5 ratings
",,,https://pro.imdb.com/title/tt3214920/
The Oscar Nominated Short Films 2013: Live Action,Drama,"Feb
1,
2013",700000.0,371605.0,2142342.0,2142342.0," 6.7
",204,,https://pro.imdb.com/title/tt3214920/
WARx2,Documentary,"Apr
5,
2016",3000000.0,30931.0,2310625.0,2310625.0," 9
",772,,https://pro.imdb.com/title/tt3214920/
Purgatorio,"Adventure,Drama,Fantasy","Oct
4,
2012",200000.0,,,," 8.4
",16,4,https://pro.imdb.com/title/tt3214920/
Sholem Aleichem: Laughing in the Darkness,Documentary,"Jul
8,
2011",500000.0,20247.0,906666.0,906666.0," 6.9
",158,,https://pro.imdb.com/title/tt3214920/
The Last Dalai Lama?,Documentary,"Jul
28,
2017",900000.0,9786.0,145524.0,145524.0," 7.4
",41,,https://pro.imdb.com/title/tt3214920/
Life Is a Dream,"Documentary,Drama,Family",2014,500000.0,,,," 8.7
",6,,https://pro.imdb.com/title/tt3214920/
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,Documentary,"Oct
4,
2012",500000.0,13802.0,152791.0,152791.0," 7.1
",885,3,https://pro.imdb.com/title/tt3214920/
The Jonas Project,Drama,"Jan
26,
2012",1000000.0,,,," 5.7
",31,3,https://pro.imdb.com/title/tt3214920/
Have It All -The Movie,Documentary,"Aug
7,
2018",250000.0,197142.0,197142.0,," 7.7
",17,,https://pro.imdb.com/title/tt3214920/
Slaughter Creek,"Drama,Horror","Apr
29,
2013",1000000.0,49392.0,136815.0,136815.0," 3.1
",157,,https://pro.imdb.com/title/tt3214920/
8: The Mormon Proposition,Documentary,"Jan
24,
2010",2500000.0,42566.0,100280.0,100280.0," 7
",1191,,https://pro.imdb.com/title/tt3214920/
Blackhats,"Action,Drama,Thriller","Oct
23,
2015",100000.0,2482.0,3216.0,3216.0," 6.2
",28,,https://pro.imdb.com/title/tt3214920/
The Connection,"Documentary,News","Sep
13,
2014",250000.0,,,," 8.4
",32,,https://pro.imdb.com/title/tt3214920/
"Filth to Ashes, Flesh to Dust",Horror,"Sep
30,
2011",100000.0,86086.0,202531.0,202531.0," 2.3
",284,1,https://pro.imdb.com/title/tt3214920/
Touch the Wall,"Documentary,Family,Sport","Nov
15,
2014",1050000.0,6200.0,12156.0,12156.0," 7.5
",101,,https://pro.imdb.com/title/tt3214920/
Feed the Fish,Comedy,"Jan
25,
2011",240000.0,5820.0,101170.0,101170.0," 6
",405,2,https://pro.imdb.com/title/tt3214920/
Monumental: In Search of America's National Treasure,"Documentary,History","Mar
30,
2012",500000.0,28340.0,177729.0,177729.0," 5
",767,,https://pro.imdb.com/title/tt3214920/
I Want Your Money,Documentary,"Oct
15,
2010",400000.0,249428.0,433588.0,433588.0," 4.8
",1250,24,https://pro.imdb.com/title/tt3214920/
Unsullied,"Action,Horror,Thriller","Aug
28,
2015",1500000.0,179112.0,510957.0,510957.0," 4.3
",277,9,https://pro.imdb.com/title/tt3214920/
Peggy Guggenheim: Art Addict,"Documentary,Biography,History","Apr
20,
2015",1100000.0,22258.0,498428.0,807409.0," 7.1
",606,12,https://pro.imdb.com/title/tt3214920/
Free the Mind,"Documentary,Adventure","May
3,
2013",450000.0,12215.0,157201.0,157201.0," 6.3
",319,1,https://pro.imdb.com/title/tt3214920/
We Are Triathletes,Documentary,"Aug
8,
2018",250000.0,,,," 7.8
",9,,https://pro.imdb.com/title/tt3214920/
George Takei's Allegiance,Musical,"Dec
13,
2016",1000000.0,784850.0,902012.0,902012.0," 8.6
",184,,https://pro.imdb.com/title/tt3214920/
Queen of the Lot,"Comedy,Drama","Nov
19,
2010",500000.0,,,," 5.6
",83,4,https://pro.imdb.com/title/tt3214920/
My Uncle Rafael,Comedy,"Sep
21,
2012",1300000.0,109747.0,243616.0,243616.0," 5.8
",182,7,https://pro.imdb.com/title/tt3214920/
Hillsong: Let Hope Rise,"Documentary,Family,Music","Sep
16,
2016",800000.0,1357243.0,2394386.0,2649761.0," 6.3
",799,10,https://pro.imdb.com/title/tt3214920/
Default,"Action,Thriller","Oct
17,
2014",750000.0,,,," 4.3
",221,23,https://pro.imdb.com/title/tt3214920/
The Black Power Mixtape 1967-1975,"Documentary,History","Mar
9,
2011",Not Found,17316.0,273749.0,280256.0," 7.6
",1674,76,https://pro.imdb.com/title/tt3214920/
Salinger,Documentary,"Sep
6,
2013",2000000.0,86956.0,583633.0,650675.0," 6.7
",2326,183,https://pro.imdb.com/title/tt3214920/
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It All",Documentary,"Jun
3,
2017",300000.0,22310.0,152284.0,163386.0," 9.4
",838,,https://pro.imdb.com/title/tt3214920/
Voiceless,"Drama,Thriller",2015,500000.0,292438.0,419952.0,419952.0," 2.1
",209,,https://pro.imdb.com/title/tt3214920/
