title,genres,release,budget,openinggross,uscagross,worldgross,userrating,uservotes,articles,filmid,filmurl,imdburl
Gone Girl,"Drama,Mystery,Thriller","Oct
3,
2014",61000000.0,37513109.0,167767189.0,369330363.0," 8.1
",774051,"5,581",tt2267998,https://pro.imdb.com/title/tt2267998,http://www.imdb.com/title/tt2267998
Beauty and the Beast,"Family,Fantasy,Musical","Mar
17,
2017",160000000.0,174750616.0,504014165.0,1263521126.0," 7.2
",244247,"2,197",tt2771200,https://pro.imdb.com/title/tt2771200,http://www.imdb.com/title/tt2771200
BlacKkKlansman,"Biography,Crime,Drama","Aug
10,
2018",15000000.0,10845330.0,49275340.0,93400823.0," 7.5
",161476,"1,646",tt7349662,https://pro.imdb.com/title/tt7349662,http://www.imdb.com/title/tt7349662
Black Panther,"Action,Adventure,Sci-Fi","Feb
16,
2018",200000000.0,202003951.0,700059566.0,1346913161.0," 7.3
",537530,"10,435",tt1825683,https://pro.imdb.com/title/tt1825683,http://www.imdb.com/title/tt1825683
Baby Driver,"Action,Crime,Drama","Jun
28,
2017",34000000.0,20553320.0,107825862.0,226945087.0," 7.6
",378343,"1,621",tt3890160,https://pro.imdb.com/title/tt3890160,http://www.imdb.com/title/tt3890160
John Wick,"Action,Crime,Thriller","Oct
24,
2014",20000000.0,14415922.0,43037835.0,86013056.0," 7.4
",472462,"2,340",tt2911666,https://pro.imdb.com/title/tt2911666,http://www.imdb.com/title/tt2911666
Get Out,"Horror,Mystery,Thriller","Feb
24,
2017",4500000.0,33377060.0,176040665.0,255413717.0," 7.7
",417403,"4,027",tt5052448,https://pro.imdb.com/title/tt5052448,http://www.imdb.com/title/tt5052448
Overlord,"Action,Adventure,Horror","Nov
9,
2018",38000000.0,10202108.0,21704844.0,41657844.0," 6.7
",62935,426,tt4530422,https://pro.imdb.com/title/tt4530422,http://www.imdb.com/title/tt4530422
Inception,"Action,Adventure,Sci-Fi","Jul
16,
2010",160000000.0,62785337.0,292576195.0,829895144.0," 8.8
",1868287,"12,137",tt1375666,https://pro.imdb.com/title/tt1375666,http://www.imdb.com/title/tt1375666
Green Book,"Biography,Comedy,Drama","Nov
16,
2018",23000000.0,320429.0,85080171.0,321013230.0," 8.2
",235655,"2,040",tt6966692,https://pro.imdb.com/title/tt6966692,http://www.imdb.com/title/tt6966692
Suicide Squad,"Action,Adventure,Fantasy","Aug
5,
2016",175000000.0,133682248.0,325100054.0,746846894.0," 6
",543135,"11,870",tt1386697,https://pro.imdb.com/title/tt1386697,http://www.imdb.com/title/tt1386697
Interstellar,"Adventure,Drama,Sci-Fi","Nov
7,
2014",165000000.0,47510360.0,188020017.0,677471339.0," 8.6
",1324981,"4,892",tt0816692,https://pro.imdb.com/title/tt0816692,http://www.imdb.com/title/tt0816692
Crazy Rich Asians,"Comedy,Drama,Romance","Aug
15,
2018",30000000.0,26510140.0,174532921.0,238532921.0," 6.9
",106715,"1,513",tt3104988,https://pro.imdb.com/title/tt3104988,http://www.imdb.com/title/tt3104988
