title,metacritic,runtime,filmid,filmurl
Gone Girl,79,149,tt2267998,https://www.imdb.com/title/tt2267998
Beauty and the Beast,65,129,tt2771200,https://www.imdb.com/title/tt2771200
BlacKkKlansman,83,135,tt7349662,https://www.imdb.com/title/tt7349662
Black Panther,88,134,tt1825683,https://www.imdb.com/title/tt1825683
Baby Driver,86,113,tt3890160,https://www.imdb.com/title/tt3890160
John Wick,68,101,tt2911666,https://www.imdb.com/title/tt2911666
Get Out,84,104,tt5052448,https://www.imdb.com/title/tt5052448
Overlord,60,110,tt4530422,https://www.imdb.com/title/tt4530422
Inception,74,148,tt1375666,https://www.imdb.com/title/tt1375666
Green Book,69,130,tt6966692,https://www.imdb.com/title/tt6966692
Suicide Squad,40,123,tt1386697,https://www.imdb.com/title/tt1386697
Interstellar,74,169,tt0816692,https://www.imdb.com/title/tt0816692
Crazy Rich Asians,74,120,tt3104988,https://www.imdb.com/title/tt3104988
Bad Times at the El Royale,60,141,tt6628394,https://www.imdb.com/title/tt6628394
Deadpool 2,66,119,tt5463162,https://www.imdb.com/title/tt5463162
Ralph Breaks the Internet,71,112,tt5848272,https://www.imdb.com/title/tt5848272
Loud,,,tt3214920,https://www.imdb.com/title/tt3214920
The Oscar Nominated Short Films 2013: Live Action,,115,tt2691580,https://www.imdb.com/title/tt2691580
WARx2,,117,tt3695244,https://www.imdb.com/title/tt3695244
Purgatorio,,100,tt2734800,https://www.imdb.com/title/tt2734800
Sholem Aleichem: Laughing in the Darkness,77,93,tt1976608,https://www.imdb.com/title/tt1976608
The Last Dalai Lama?,66,82,tt6865478,https://www.imdb.com/title/tt6865478
Life Is a Dream,,81,tt3655326,https://www.imdb.com/title/tt3655326
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,79,88,tt2654360,https://www.imdb.com/title/tt2654360
The Jonas Project,,109,tt1852114,https://www.imdb.com/title/tt1852114
Have It All -The Movie,,90,tt8803596,https://www.imdb.com/title/tt8803596
Slaughter Creek,,94,tt1336106,https://www.imdb.com/title/tt1336106
8: The Mormon Proposition,55,80,tt1484522,https://www.imdb.com/title/tt1484522
Blackhats,,104,tt2157103,https://www.imdb.com/title/tt2157103
The Connection,,72,tt3856972,https://www.imdb.com/title/tt3856972
"Filth to Ashes, Flesh to Dust",,90,tt1499302,https://www.imdb.com/title/tt1499302
Touch the Wall,,101,tt2980728,https://www.imdb.com/title/tt2980728
Feed the Fish,,92,tt1354687,https://www.imdb.com/title/tt1354687
Monumental: In Search of America's National Treasure,,84,tt1706687,https://www.imdb.com/title/tt1706687
I Want Your Money,,92,tt1560957,https://www.imdb.com/title/tt1560957
Unsullied,42,93,tt3139764,https://www.imdb.com/title/tt3139764
Peggy Guggenheim: Art Addict,68,96,tt3790720,https://www.imdb.com/title/tt3790720
Free the Mind,51,80,tt1673376,https://www.imdb.com/title/tt1673376
We Are Triathletes,,104,tt5028916,https://www.imdb.com/title/tt5028916
George Takei's Allegiance,,130,tt6316170,https://www.imdb.com/title/tt6316170
Queen of the Lot,42,120,tt1342122,https://www.imdb.com/title/tt1342122
My Uncle Rafael,36,102,tt1604589,https://www.imdb.com/title/tt1604589
Hillsong: Let Hope Rise,43,103,tt3850544,https://www.imdb.com/title/tt3850544
Default,34,88,tt1871257,https://www.imdb.com/title/tt1871257
The Black Power Mixtape 1967-1975,73,100,tt1592527,https://www.imdb.com/title/tt1592527
Salinger,40,120,tt1596753,https://www.imdb.com/title/tt1596753
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It All",41,90,tt6842524,https://www.imdb.com/title/tt6842524
Voiceless,,107,tt2603600,https://www.imdb.com/title/tt2603600
Big Sonia,71,93,tt3531176,https://www.imdb.com/title/tt3531176
Gibsonburg,,90,tt2345555,https://www.imdb.com/title/tt2345555
Ladrones,,97,tt4296800,https://www.imdb.com/title/tt4296800
Not Today,,118,tt1564870,https://www.imdb.com/title/tt1564870
Lost and Found in Armenia,,100,tt1876373,https://www.imdb.com/title/tt1876373
The Trouble with Terkel,,87,tt1560987,https://www.imdb.com/title/tt1560987
Letters from Baghdad,71,95,tt6086614,https://www.imdb.com/title/tt6086614
Champion,,116,tt5078656,https://www.imdb.com/title/tt5078656
The Other Dream Team,69,89,tt1606829,https://www.imdb.com/title/tt1606829
Camp,,109,tt2371287,https://www.imdb.com/title/tt2371287
Persecuted,11,91,tt1761005,https://www.imdb.com/title/tt1761005
Zhongkui: Snow Girl and the Dark Crystal,,118,tt3585004,https://www.imdb.com/title/tt3585004
Munger Road,,86,tt1720172,https://www.imdb.com/title/tt1720172
The Obama Effect,,85,tt2207006,https://www.imdb.com/title/tt2207006
Above and Beyond,69,90,tt2704752,https://www.imdb.com/title/tt2704752
Alone Yet Not Alone,,103,tt1986769,https://www.imdb.com/title/tt1986769
Preacher's Kid,,110,tt1328913,https://www.imdb.com/title/tt1328913
Jimmy Vestvood: Amerikan Hero,,84,tt3135556,https://www.imdb.com/title/tt3135556
But Deliver Us from Evil,,109,tt4134826,https://www.imdb.com/title/tt4134826
The Abandoned,,88,tt1305798,https://www.imdb.com/title/tt1305798
Passage to Mars,43,94,tt3190158,https://www.imdb.com/title/tt3190158
Snake & Mongoose,,102,tt1718898,https://www.imdb.com/title/tt1718898
Who Will Write Our History,83,95,tt4645358,https://www.imdb.com/title/tt4645358
America: Imagine the World Without Her,15,105,tt2785390,https://www.imdb.com/title/tt2785390
The Letters,25,114,tt1445208,https://www.imdb.com/title/tt1445208
Shine,,95,tt4064912,https://www.imdb.com/title/tt4064912
Brave New Jersey,45,86,tt4660172,https://www.imdb.com/title/tt4660172
Driving While Black,,94,tt3879200,https://www.imdb.com/title/tt3879200
LUV,52,94,tt1907707,https://www.imdb.com/title/tt1907707
Last Ounce of Courage,11,101,tt2359137,https://www.imdb.com/title/tt2359137
Mother of George,77,107,tt2094890,https://www.imdb.com/title/tt2094890
